Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"007-000001248","919","007","Department of Defense","Teleport Generation 3","2.022000","5.414000","4.296000","3.937000","38.140000","47.619000","39.972000","33.135000","0.000000","0.000000","0.000000","0.000000","0.026000","2.880000","4.608000","7.055000","0.000000","2.075000","2.406000","2.478000","0.00","19.00","19.00","19.00","-15.791000","-1.209000","-21.000000","-2.000000"
"007-000001791","921","007","Department of Defense","Energy Convergence","0.000000","0.000000","0.000000","0.000000","31.184000","32.219000","36.491000","18.076000","0.000000","0.000000","0.000000","0.000000","21.053000","21.927000","8.184000","9.856000","0.917000","1.064000","1.080000","1.096000","7.00","8.00","8.00","8.00","-6.407000","-5.168000","-10.000000","-10.000000"
"007-000001099","922","007","Department of Defense","Air Force Intranet Increment 3","0.000000","0.000000","0.000000","0.000000","0.000000","29.587000","14.637000","22.961000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.089000","0.092000","0.093000","0.00","1.00","1.00","1.00","-0.294000","-45.500000","-1.000000","-76.000000"
"007-000003945","923","007","Department of Defense","JSpOC Mission System","0.000000","98.726000","80.409000","54.645000","0.000000","0.000000","0.929000","1.066000","0.000000","0.000000","0.000000","0.000000","0.000000","2.321000","2.237000","0.928000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","98.591000","-38.523000","4014.000000","-32.000000"
"007-000004122","924","007","Department of Defense","Electronic Health Record Way Ahead","0.000000","0.000000","0.000000","0.000000","50.754000","202.154000","432.190000","167.600000","0.505000","10.047000","10.437000","0.000000","0.000000","0.000000","0.000000","139.646000","0.000000","0.000000","0.000000","23.770000","5.00","70.00","70.00","83.00","-90.124000","-2.168000","-30.000000","0.000000"
"007-000000435","1112","007","Department of Defense","COMPOSITE HEALTH CARE SYSTEM","0.000000","0.000000","0.000000","0.000000","772.749000","2.466000","0.000000","0.000000","1.284000","0.000000","0.000000","0.000000","1598.297000","54.883000","35.104000","35.786000","4.408000","0.387000","0.387000","0.387000","48.00","3.00","3.00","3.00","1.286000","-2.962000","2.000000","-8.000000"
"007-000000591","1113","007","Department of Defense","Business Systems Modernization - Energy","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","600.791000","33.902000","50.245000","49.259000","28.183000","3.146000","3.198000","3.472000","277.00","26.00","26.00","28.00","-13.199000","-0.091000","-26.000000","0.000000"
"007-000000688","1114","007","Department of Defense","DISTRIBUTED LEARNING SYSTEM","18.467000","0.334000","0.000000","0.000000","142.580000","9.801000","7.876000","6.163000","0.000000","0.000000","0.000000","0.000000","379.640000","38.106000","38.745000","32.720000","9.874000","2.180000","2.180000","2.218000","89.00","28.00","28.00","28.00","-3.689000","-0.717000","-7.000000","-1.000000"
"007-000001640","1115","007","Department of Defense","RESERVE COMPONENT AUTOMATION SYSTEM","0.000000","0.000000","0.000000","0.000000","1008.936000","39.139000","41.248000","35.493000","0.000000","0.000000","0.000000","0.000000","506.008000","41.577000","37.302000","29.477000","21.174000","3.612000","4.155000","4.458000","195.00","29.00","36.00","36.00","2.376000","-0.030000","3.000000","0.000000"
"007-000001667","1116","007","Department of Defense","Integrated Data Environment/Global Transportation Network Convergence","0.000000","0.000000","0.000000","0.000000","61.798000","12.425000","1.354000","0.000000","0.409000","0.078000","0.000000","0.000000","45.648000","33.549000","50.605000","34.830000","0.279000","0.209000","0.287000","0.294000","5.00","2.00","2.00","2.00","2.479000","1.694000","6.000000","3.000000"
"007-000003448","1117","007","Department of Defense","Marine Corps Distance Learning","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","52.716000","24.628000","39.962000","35.993000","9.110000","0.000000","0.436000","0.432000","90.00","0.00","4.00","4.00","-2.913000","0.000000","-11.000000","0.000000"
"007-000005090","1118","007","Department of Defense","DLA Enterprise Business System","0.000000","0.000000","0.000000","0.000000","102.048000","40.930000","30.046000","24.108000","0.000000","0.000000","0.000000","0.000000","188.564000","55.833000","68.732000","73.578000","46.877000","19.891000","20.702000","20.065000","478.00","177.00","181.00","172.00","21.054000","10.658000","22.000000","10.000000"
"007-000006040","1119","007","Department of Defense","ARMY ACCESSIONS - INTEGRATED AUTOMATION ARCHITECTURE","0.000000","0.000000","0.000000","4.243000","87.216000","6.775000","6.366000","4.343000","0.000000","0.000000","0.000000","0.000000","525.415000","67.407000","74.624000","67.040000","21.030000","14.377000","10.934000","10.974000","335.00","206.00","158.00","158.00","-10.770000","-5.633000","-11.000000","-6.000000"
"007-000006430","1120","007","Department of Defense","KNOWLEDGE MANAGEMENT","0.000000","0.000000","0.000000","0.000000","45.472000","5.444000","10.572000","0.000000","0.000000","0.000000","0.000000","0.000000","556.534000","72.520000","82.688000","64.226000","0.262000","0.645000","0.773000","0.776000","3.00","5.00","6.00","6.00","12.053000","-0.990000","18.000000","-1.000000"
"007-000006525","1121","007","Department of Defense","MARINE CORPS TOTAL FORCE SYSTEM-PERSONNEL","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","13.596000","6.798000","20.017000","17.733000","0.000000","1.652000","16.260000","16.559000","0.00","15.00","126.00","111.00","0.000000","0.000000","0.000000","0.000000"
"007-000001372","1122","007","Department of Defense","NAVY TACTICAL COMMAND SUPPORT SYSTEM","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","162.505000","38.868000","70.537000","73.487000","330.713000","46.704000","46.915000","44.507000","3575.00","357.00","402.00","411.00","3.893000","-5.021000","5.000000","-4.000000"
"007-000001699","1123","007","Department of Defense","SHIPBOARD MANAGEMENT INFORMATION SYSTEM","0.000000","0.000000","0.000000","0.000000","22.446000","3.003000","4.900000","5.588000","0.000000","0.000000","0.000000","0.000000","188.311000","69.155000","76.130000","69.240000","67.140000","0.120000","0.123000","0.125000","1.00","1.00","1.00","1.00","-11.127000","-5.724000","-13.000000","-7.000000"
"007-000000573","1124","007","Department of Defense","DEFENSE CIVILIAN PERSONNEL DATA SYSTEM","0.000000","8.255000","4.614000","0.442000","4.848000","14.482000","6.356000","7.520000","0.000000","0.000000","0.000000","0.000000","81.352000","44.329000","38.119000","39.206000","7.600000","7.936000","7.903000","7.994000","50.00","50.00","50.00","50.00","-65.378000","-72.680000","-47.000000","-56.000000"
"007-000006478","1125","007","Department of Defense","DODEA OFFICE AUTOMATION AND INFRASTRUCTURE","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","62.489000","53.364000","54.315000","55.408000","9.360000","9.360000","9.360000","9.575000","116.00","116.00","116.00","116.00","-10.000000","-10.000000","-14.000000","-14.000000"
"007-000001191","1126","007","Department of Defense","MEPCOM Integrated Resource System","25.050000","0.563000","0.663000","0.000000","79.363000","11.190000","5.286000","0.000000","0.000000","0.000000","0.000000","0.000000","266.864000","17.681000","17.149000","23.209000","16.647000","10.202000","10.202000","10.241000","301.00","160.00","160.00","160.00","-0.422000","-1.020000","-1.000000","-3.000000"
"018-000001140","802","018","Department of Education","Integrated Partner Management (IPM)","2.160000","0.000000","0.000000","0.000000","4.968000","8.862000","9.217000","0.000000","3.517000","4.503000","4.216000","0.000000","0.000000","0.000000","0.000000","7.500000","0.000000","0.000000","0.000000","4.871000","29.00","33.00","33.00","33.00","1.141000","-3.241000","9.300000","-19.400000"
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","1.708000","0.125000","0.125000","0.125000","2.783000","0.335000","0.350000","0.375000","0.000000","0.000000","0.000000","0.000000","2.451000","0.685000","0.700000","0.715000","0.686000","0.172000","0.238000","0.244000","8.00","4.00","4.00","5.00","0.000000","0.000000","0.000000","0.000000"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.520000","85.560000","7.492000","9.399000","10.600000","20.110000","2.080000","2.180000","2.250000","15.00","15.00","15.00","15.00","0.000000","0.000000","0.000000","0.000000"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","0.000000","0.000000","0.000000","0.000000","1.600000","0.000000","0.000000","0.000000","0.240000","0.000000","0.000000","0.000000","25.350000","10.940000","7.422000","7.653000","2.280000","1.397000","1.596000","0.861000","20.00","11.00","12.00","7.00","1.720000","-1.881000","16.200000","-17.300000"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","0.000000","0.000000","0.000000","0.000000","1.846000","1.902000","1.959000","2.018000","0.344250","0.356250","0.369000","0.382500","12.701000","0.588000","0.605000","0.624000","2.212907","0.118750","0.123000","0.127500","18.00","3.00","3.00","3.00","0.000000","0.000000","0.000000","0.000000"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","0.000000","0.000000","0.000000","0.000000","12.830000","0.000000","0.000000","0.000000","4.020000","0.000000","0.000000","0.000000","63.790000","6.555000","6.748000","7.021000","5.520000","1.962000","2.126000","2.168000","66.00","12.00","13.00","13.00","0.000000","-0.275000","0.000000","-3.000000"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","0.000000","0.000000","0.000000","0.000000","15.486000","1.000000","0.098000","1.599000","0.000000","0.000000","0.000000","0.000000","4.699000","4.814000","4.880000","4.773000","0.000000","0.000000","0.000000","0.000000","17.00","7.00","9.00","9.00","0.000000","0.000000","0.000000","0.000000"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","212.697000","56.645000","56.078000","56.153000","7.277000","3.834000","4.007000","4.187000","55.00","21.00","21.00","21.00","0.000000","-0.567000","0.000000","-0.900000"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","3.340000","0.000000","1.996000","2.660000","12.198600","1.712230","0.000000","0.000000","0.372000","0.000000","0.000000","0.000000","5.462000","2.493000","2.412000","1.726000","0.131000","0.000000","0.237000","0.243000","4.00","2.00","2.00","2.00","0.000000","0.237000","0.000000","5.400000"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","0.692000","0.000000","0.000000","0.000000","7.480000","3.484000","2.994000","3.083000","0.000000","0.000000","0.070000","0.070000","19.348000","2.709000","2.679000","2.760000","0.560000","0.000000","0.070000","0.070000","3.00","1.00","1.00","1.00","0.000000","-1.582000","0.000000","-21.400000"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","1.100000","0.000000","0.000000","0.000000","28.830000","0.416000","0.070000","0.446000","0.898000","0.000000","0.000000","0.000000","33.727000","3.712000","2.481000","2.501000","8.082000","0.000000","0.000000","0.000000","110.00","10.00","10.00","10.00","0.000000","0.000000","0.000000","0.000000"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","0.000000","0.000000","0.000000","0.000000","11.170000","0.260000","0.270000","0.280000","0.080000","0.040000","0.040000","0.040000","5.268000","1.404000","1.354000","1.139000","0.200000","0.100000","0.100000","0.100000","3.00","1.00","1.00","1.00","0.000000","0.000000","0.000000","0.000000"
"018-000001010","819","018","Department of Education","EDFacts","13.070000","0.000000","0.055000","0.140000","28.671200","4.026000","0.680138","0.761769","3.223669","0.488951","0.171720","0.175800","50.449000","12.880591","8.998862","9.788231","8.087632","2.025650","1.545480","1.582200","93.00","17.00","12.00","12.00","0.000000","11.451200","0.000000","0.000000"
"018-000001018","820","018","Department of Education","ED Web","0.000000","0.000000","0.000000","0.000000","8.453000","0.609000","1.808000","1.929000","4.500000","0.331300","0.500000","0.500000","21.138000","3.210000","2.893000","2.919000","5.125000","0.613000","0.647000","0.681000","19.00","9.00","9.00","9.00","0.000000","0.000000","0.000000","0.000000"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","0.000000","0.000000","0.000000","0.000000","1.020000","0.651000","4.885000","11.248000","0.989000","0.270000","0.429000","0.439000","2.998000","0.436000","0.432000","0.438000","2.391000","0.660000","0.430000","0.440000","28.00","7.00","6.00","6.00","0.000000","0.000000","0.000000","0.000000"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","0.000000","0.000000","0.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.695000","66.835000","63.696000","58.542000","60.967000","0.000000","4.154000","6.030000","5.938000","0.00","0.00","32.00","45.00","3.196000","-10.958000","4.900000","-14.500000"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","16.293000","0.000000","0.000000","0.000000","3.140000","4.472000","2.550000","0.750000","1.777000","0.010000","0.792000","0.402000","63.919000","13.532000","10.392000","10.747000","4.691000","1.843000","1.320000","1.608000","62.00","16.00","16.00","15.00","6.342000","-0.669000","46.900000","-4.300000"
