"Unique Investment Identifier","Business Case ID","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
021-435692236,939,93,"Display System Replacement",021-864879837,"to be eliminated",03/19/2014,15:44:09
021-435692236,939,95,"User Request Evaluation Tool",021-864879837,"to be eliminated",03/19/2014,15:44:09
012-000003615,1047,105,,012-000002025,"to be eliminated",03/13/2014,09:05:50
012-000003615,1047,107,,012-000002265,"to be eliminated",03/13/2014,09:05:50
021-762783225,1211,111,,021-448268496,"to be eliminated",03/19/2014,15:53:28
021-762783225,1211,113,,021-351011071,"to be eliminated",03/19/2014,15:53:28
021-762783225,1211,115,,021-199782999,"to be eliminated",03/19/2014,15:53:28
024-000005053,314,117,"	195784",024-000005214,"to be eliminated",02/08/2016,17:01:19
024-000005053,314,119,"	195783",024-000005058,"to be eliminated",02/08/2016,17:01:19
020-000013015,412,129,,020-000013010,"to be eliminated",03/18/2014,09:53:03
020-000013015,412,131,,020-000013015,"to be eliminated",03/18/2014,09:53:03
020-000013015,412,133,,020-000013015,"to be eliminated",03/18/2014,09:53:03
020-000013015,412,135,,020-000013003,"to be eliminated",03/18/2014,09:53:03
014-000000042,1129,143,,014-000001390,"to be eliminated",03/27/2013,10:27:09
014-000000029,742,145,,014-000000026,"to be reduced",03/26/2013,10:34:44
021-105731835,896,147,,021-489256767,"to be eliminated",10/30/2014,14:45:55
021-089571105,361,155,FAAXX327,021-040828751,"to be reduced",03/19/2014,15:41:38
021-089571105,361,157,FAAXX318,021-681137436,"to be reduced",03/19/2014,15:41:38
422-000001327,451,159,"	75213",422-000000001,"to be eliminated",02/04/2016,19:33:34
014-000000032,1132,163,,014-000000034,"to be reduced",03/26/2013,10:34:31
014-000000012,718,165,,014-000000113,"to be eliminated",03/25/2013,12:46:08
014-000000012,718,167,,014-000000103,"to be eliminated",03/25/2013,12:46:08
014-000000012,718,169,,014-000000039,"to be eliminated",03/25/2013,12:46:08
025-000004580,856,177,,025-000004500,"to be reduced",11/10/2015,19:23:06
021-430297065,1076,183,"	1",021-175812085,"to be eliminated",02/03/2016,19:07:02
021-430297065,1076,185,"	2",021-529219009,"to be eliminated",02/03/2016,19:07:02
005-000002317,832,201,,005-000000041,"to be eliminated",03/18/2014,16:30:00
006-000051500,1081,229,,006-000051000,"to be eliminated",02/02/2016,21:29:31
018-000000076,1267,247,,018-000008003,"to be eliminated",02/04/2016,16:24:04
018-000000076,1267,249,,018-000000059,"to be eliminated",02/04/2016,16:24:04
018-000000076,1267,251,,018-000002620,"to be eliminated",02/04/2016,16:24:04
018-000000076,1267,253,,018-000002690,"to be eliminated",02/04/2016,16:24:04
015-000000432,1269,259,"	29",015-000014197,"to be eliminated",03/22/2013,12:58:54
006-000552000,1080,261,,006-000551500,"to be eliminated",02/03/2016,19:14:29
006-000552000,1080,263,,006-000550100,"to be eliminated",02/03/2016,19:14:29
024-000007128,1279,283,"	197016",024-000007127,"to be reduced",02/08/2016,17:05:21
016-000002141,630,327,,016-000002125,"to be eliminated",02/24/2016,18:46:58
012-000002630,131,333,,012-000003345,"to be reduced",02/04/2016,15:30:48
005-000002376,1099,334,,005-000002377,"to be reduced",02/02/2016,18:29:35
020-000015010,402,336,,020-000015050,"to be eliminated",02/05/2016,14:23:10
024-000005666,174,339,"	213224",024-000005606,"to be eliminated",02/08/2016,17:03:04
