glDetail/glDetail,segment05,
glDetail/glDetail,segment04,
glDetail/glDetail,segment03,
glDetail/glDetail,segment02,
glDetail/glDetail,segment01,
glDetail/glDetail,sourceId,
glDetail/glDetail,lastModifiedBy,
glDetail/glDetail,approvedBy,
glDetail/glDetail,enteredBy,
glDetail/glDetail,glAccountNumber,
fixedAssetDepreciation/fixedAssetDepreciation,businessUnitCode,
fixedAssetDepreciation/fixedAssetDepreciation,glTransactionId,
fixedAssetDepreciation/fixedAssetDepreciation,glAccount,
fixedAssetDepreciation/fixedAssetDepreciation,segment05,
fixedAssetDepreciation/fixedAssetDepreciation,segment04,
fixedAssetDepreciation/fixedAssetDepreciation,segment03,
fixedAssetDepreciation/fixedAssetDepreciation,segment02,
fixedAssetDepreciation/fixedAssetDepreciation,segment01,
fixedAssetDepreciation/fixedAssetDepreciation,lastModifiedBy,
fixedAssetDepreciation/fixedAssetDepreciation,approvedBy,
fixedAssetDepreciation/fixedAssetDepreciation,enteredBy,
fixedAssetRemovals/fixedAssetRemovals,businessUnitCode,
fixedAssetRemovals/fixedAssetRemovals,glTransactionId,
fixedAssetRemovals/fixedAssetRemovals,segment05,
fixedAssetRemovals/fixedAssetRemovals,segment04,
fixedAssetRemovals/fixedAssetRemovals,segment03,
fixedAssetRemovals/fixedAssetRemovals,segment02,
fixedAssetRemovals/fixedAssetRemovals,segment01,
fixedAssetRemovals/fixedAssetRemovals,lastModifiedBy,
fixedAssetRemovals/fixedAssetRemovals,approvedBy,
fixedAssetRemovals/fixedAssetRemovals,enteredBy,
fixedAssetRemovals/fixedAssetRemovals,fixedAssetRealizedGainLossAccount,
fixedAssetRemovals/fixedAssetRemovals,fixedAssetUnrealizedGainLossAccount,
fixedAssetValuation/fixedAssetValuation,businessUnitCode,
fixedAssetValuation/fixedAssetValuation,glTransactionId,
fixedAssetValuation/fixedAssetValuation,segment05,
fixedAssetValuation/fixedAssetValuation,segment04,
fixedAssetValuation/fixedAssetValuation,segment03,
fixedAssetValuation/fixedAssetValuation,segment02,
fixedAssetValuation/fixedAssetValuation,segment01,
fixedAssetValuation/fixedAssetValuation,glAccount,
fixedAssetValuation/fixedAssetValuation,lastModifiedBy,
fixedAssetValuation/fixedAssetValuation,approvedBy,
fixedAssetValuation/fixedAssetValuation,enteredBy,
fixedAssetValuation/fixedAssetValuation,fixedAssetRealizedGainLossAccount,
fixedAssetValuation/fixedAssetValuation,fixedAssetUnrealizedGainLossAccount,
fixedAssetValuation/fixedAssetValuation,fixedAssetId,
ChartOfAccounts/ChartOfAccounts,businessUnitCode,
ChartOfAccounts/ChartOfAccounts,segment01,
ChartOfAccounts/ChartOfAccounts,segment02,
ChartOfAccounts/ChartOfAccounts,segment03,
ChartOfAccounts/ChartOfAccounts,segment04,
ChartOfAccounts/ChartOfAccounts,segment05,
apPaymentData/apPaymentData,lineBusinessUnitCode,
apPaymentData/apPaymentData,glDebitAccountNumber,
apPaymentData/apPaymentData,glCreditAccountNumber,
apPaymentData/apPaymentData,segment05,
apPaymentData/apPaymentData,segment04,
apPaymentData/apPaymentData,segment03,
apPaymentData/apPaymentData,segment02,
apPaymentData/apPaymentData,segment01,
apPaymentData/apPaymentData,lineModifiedBy,
apPaymentData/apPaymentData,lineApprovedBy,
apPaymentData/apPaymentData,lineSystemEntryUser,
apPaymentData/apPaymentData,sourceId,
supplierMasterData/supplierMasterData,systemModifiedUser,
supplierMasterData/supplierMasterData,systemApprovedUser,
supplierMasterData/supplierMasterData,systemEntryUser,
bankAccountMasterData/bankAccountMasterData,bankAccountId,
bankAccountMasterData/bankAccountMasterData,bankAccountId,
employeeMasterData/employeeMasterData,userId,
CustomerMasterData/CustomerMasterData,systemModifiedUser,
CustomerMasterData/CustomerMasterData,systemApprovedUser,
CustomerMasterData/CustomerMasterData,systemEntryUser,
businessUnitCode,businessUnitCode,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
glAccountNumber,glAccountNumber,
lineBusinessUnitCode,businessUnitCode,
businessUnitCode,businessUnitCode,
lineSupplierId,supplierId,
glCreditAccountNumber,glAccountNumber,
glDebitAccountNumber,glAccountNumber,
lineLastModifiedBy,userId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
lastModifiedBy,userId,
approvedBy,userId,
systemEntryUser,userId,
sourceId,sourceId,
