"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
007-000007173,1429,"01 - Major IT","01 - Not Applicable",715,"	678",007-000002308,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",717,"	679",007-000001983,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",719,"	680",007-000001172,"to be reduced",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",721,"	681",007-000001783,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",723,"	682",007-000005046,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",725,"	683",007-000001178,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",727,"	684",007-000002315,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",729,"	685",007-000002318,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",731,"	686",007-000002332,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",733,"	693",007-000002316,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",735,"	694",007-000002306,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",737,"	695",007-000002297,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",739,"	696",007-000002293,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",741,"	697",007-000002292,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",743,"	698",007-000002289,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",745,"	688",007-000004759,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",747,"	699",007-000002433,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",749,"	700",007-000001174,"to be reduced",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",751,"	701",007-000002283,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",753,"	702",007-000004212,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",755,"	703",007-000002279,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",757,"	704",007-000002276,"to be reduced",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",759,"	705",007-000002277,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",761,"	706",007-000004585,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",763,"	707",007-000002320,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",765,"	708",007-000004255,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",767,"	709",007-000002319,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",769,"	710",007-000002394,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",771,"	674",007-000002281,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",773,"	687",007-000002396,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",775,"	689",007-000001640,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",777,"	690",007-000002324,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",779,"	691",007-000002322,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",781,"	692",007-000002317,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",783,"	673",007-000002312,"to be eliminated",12/09/2013,14:03:01
007-000100033,1435,"01 - Major IT","01 - Not Applicable",785,"	764",007-000001913,"to be reduced",12/09/2013,14:35:49
007-000100033,1435,"01 - Major IT","01 - Not Applicable",787,"	761",007-000000049,"to be eliminated",12/09/2013,14:35:49
007-000100033,1435,"01 - Major IT","01 - Not Applicable",789,"	762",007-000000435,"to be eliminated",12/09/2013,14:35:49
007-000100033,1435,"01 - Major IT","01 - Not Applicable",791,"	763",007-000000379,"to be eliminated",12/09/2013,14:35:49
005-000002148,231,"01 - Major IT","01 - Not Applicable",799,,005-000000124,"to be eliminated",02/28/2014,14:31:17
007-000000582,1395,"01 - Major IT","01 - Not Applicable",807,"	932",007-000000262,"to be eliminated",03/18/2014,11:05:14
021-762783225,1211,"01 - Major IT","01 - Not Applicable",837,"	2618",021-448268496,"to be eliminated",03/19/2014,15:53:28
429-000008200,1473,"01 - Major IT","01 - Not Applicable",839,,429-000001003,"to be reduced",09/09/2014,07:24:44
014-000000003,1511,"01 - Major IT","01 - Not Applicable",877,"	129877",014-000000025,"to be eliminated",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",879,"	129878",014-000000355,"to be eliminated",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",881,"	129879",014-000000056,"to be reduced",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",883,"	129881",014-000000004,"to be reduced",09/10/2014,18:06:24
027-999991200,594,"01 - Major IT","01 - Not Applicable",885,,020-000016227,"to be reduced",09/15/2015,16:40:43
011-000003457,938,"01 - Major IT","01 - Not Applicable",887,,011-000003458,"to be eliminated",09/11/2014,13:01:12
026-000005020,39,"01 - Major IT","01 - Not Applicable",893,,026-000005010,"to be eliminated",09/11/2014,21:17:24
021-488119819,1325,"01 - Major IT","01 - Not Applicable",903,"	25544",021-293198144,"to be eliminated",09/12/2014,14:32:23
018-000001031,818,"01 - Major IT","01 - Not Applicable",911,,018-000000058,"to be eliminated",09/18/2014,14:50:11
018-000001031,818,"01 - Major IT","01 - Not Applicable",913,,018-000002600,"to be eliminated",09/18/2014,14:50:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",919,"	1026",007-000009990,"to be eliminated",10/01/2014,10:50:00
007-000000314,19,"01 - Major IT","01 - Not Applicable",921,"	1027",007-000004556,"to be eliminated",10/01/2014,10:50:00
007-000000314,19,"01 - Major IT","01 - Not Applicable",923,"	1029",007-000003737,"to be eliminated",10/01/2014,10:50:00
007-000003947,915,"01 - Major IT","01 - Not Applicable",925,"	1003",007-000001237,"to be eliminated",02/04/2015,12:46:50
007-000003947,915,"01 - Major IT","01 - Not Applicable",927,"	1004",007-000006473,"to be eliminated",10/01/2014,12:36:30
007-000003947,915,"01 - Major IT","01 - Not Applicable",929,"	1006",007-000005986,"to be eliminated",10/01/2014,12:36:30
007-000001371,1567,"01 - Major IT","01 - Not Applicable",931,"	982",007-000000954,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",933,"	984",007-000003898,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",935,"	985",007-000003901,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",937,"	983",007-000001644,"to be eliminated",10/01/2014,14:32:49
024-000003015,319,"01 - Major IT","01 - Not Applicable",941,"	45171",024-000003036,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",942,"	45178",024-000003038,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",943,"	45207",024-000003040,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",944,"	45210",024-000003090,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",945,"	45208",024-000003120,"to be eliminated",09/15/2015,11:12:15
024-000005217,1107,"01 - Major IT","01 - Not Applicable",946,"	45745",024-000005216,"to be eliminated",09/15/2015,11:14:38
015-000200132,1606,"01 - Major IT","01 - Not Applicable",955,"	380",015-000200132,"to be eliminated",09/15/2015,14:43:28
027-999991200,594,"01 - Major IT","01 - Not Applicable",956,,023-000001226,"to be eliminated",09/15/2015,16:40:43
027-999991200,594,"01 - Major IT","01 - Not Applicable",957,,023-000001221,"to be eliminated",09/15/2015,16:40:43
010-000000319,674,"01 - Major IT","01 - Not Applicable",958,,010-000000456,"to be reduced",09/15/2015,17:01:42
010-000000703,681,"01 - Major IT","01 - Not Applicable",959,,010-000001642,"to be reduced",09/15/2015,18:35:05
005-000002376,1099,"01 - Major IT","01 - Not Applicable",962,"	6256",005-000002375,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",963,"	6257",005-000002377,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",964,"	6255",005-000002388,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",965,"	6258",005-000002389,"to be reduced",09/16/2015,16:39:08
005-000000063,249,"01 - Major IT","01 - Not Applicable",966,"	6268",005-000000064,"to be eliminated",09/16/2015,16:42:26
005-000000063,249,"01 - Major IT","01 - Not Applicable",967,"	6269",005-000000067,"to be eliminated",09/16/2015,16:42:26
015-000200136,1621,"01 - Major IT","01 - Not Applicable",977,"	335",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200133,1623,"01 - Major IT","01 - Not Applicable",981,"	414",015-000200133,"to be eliminated",09/16/2015,19:42:29
005-000002148,231,"01 - Major IT","01 - Not Applicable",982,"	6263",005-000000150,"to be eliminated",09/16/2015,19:47:11
015-000200137,1624,"01 - Major IT","01 - Not Applicable",987,"	293",015-000200137,"to be eliminated",09/16/2015,20:10:57
005-000000185,1634,"01 - Major IT","01 - Not Applicable",989,"	5538",005-000000074,"to be reduced",09/17/2015,14:33:19
